S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry
91,ANANTNAG ARTO,JK037477,02-Nov-02,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),30-Nov-10,30-Nov-21,29-Nov-24,WITH IN ANANTNAG MUNCIPAL LIMITS  UP TO 8 Kms,NA,,,NA,Ordinary Service,2002-2003,2010-2011,DIESEL,NON HAZARDOUS::OTHER::ONLY
92,ANANTNAG ARTO,JK037490,02-Nov-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jan-06,11-Jan-21,10-Jan-23,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Rural Service,2002-2003,2005-2006,DIESEL,C PASSENGER
93,ANANTNAG ARTO,JK037653,21-Feb-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Dec-02,26-Dec-25,25-Dec-30,WITH IN 25 KMS OF DISTRICT,NA,,,NA,,2002-2003,2002-2003,DIESEL,NON HAZARDOUS::OTHER::ONLY
94,ANANTNAG ARTO,JK037819,28-Feb-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Mar-03,30-Mar-20,30-Mar-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,C PASSANGER
95,ANANTNAG ARTO,JK037944,28-Mar-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Mar-03,31-Mar-22,30-Mar-27,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,NON HAZARDOUS::OTHER::ONLY
96,ANANTNAG ARTO,JK037960,28-Mar-03,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Mar-03,31-Mar-21,30-Mar-23,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,C PASSENGERS
97,ANANTNAG ARTO,JK037989,31-Mar-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Oct-05,30-Oct-19,30-Oct-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2005-2006,DIESEL,C PASSANGER
98,ANANTNAG ARTO,JK037990,31-Mar-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Apr-06,19-Apr-20,18-Apr-24,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2006-2007,DIESEL,CARRYING PASSENGERS
99,ANANTNAG ARTO,JK037994,31-Mar-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Mar-03,31-Mar-22,30-Mar-25,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,NON HAZARDOUS::OTHER::ONLY
100,ANANTNAG ARTO,JK037999,12-Mar-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Mar-03,30-Mar-20,30-Mar-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,CARRYING PASSANGER
101,ANANTNAG ARTO,JK038004,31-Mar-03,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,26-Jan-15,23-Nov-25,22-Nov-30,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Bazar Service,2002-2003,2014-2015,DIESEL,NON HAZARDOUS::OTHER::ONLY
102,ANANTNAG ARTO,JK038011,31-Mar-03,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),31-Mar-03,30-Mar-19,30-Mar-21,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,C PASSANGER
103,ANANTNAG ARTO,JK038030,10-Apr-03,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),30-Oct-03,30-Oct-20,29-Oct-25,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2003-2004,2003-2004,DIESEL,NON HAZARDOUS::OTHER::ONLY
104,ANANTNAG ARTO,JK038046,26-Feb-03,LPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),30-Oct-03,29-Oct-19,29-Oct-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Night Service,2002-2003,2003-2004,DIESEL,CARRYING PASSANG
105,ANANTNAG ARTO,JK038049,14-Jun-03,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),29-Nov-04,28-Nov-19,28-Nov-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2003-2004,2004-2005,DIESEL,C PASSANGER
106,ANANTNAG ARTO,JK038563,18-Feb-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,05-Aug-05,05-Aug-19,04-Aug-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2005-2006,DIESEL,C PASSENGERS
107,ANANTNAG ARTO,JK038568,11-Sep-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Mar-05,03-Mar-19,03-Mar-20,ALL JAND K,NA,,,NA,Ordinary Service,2003-2004,2004-2005,DIESEL,C PASSANGER
108,ANANTNAG ARTO,JK038598,20-Dec-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,22-Apr-06,22-Apr-19,21-Apr-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2006-2007,DIESEL,C PASSENGERS
109,ANANTNAG ARTO,JK038608,20-Dec-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-05,29-May-19,29-May-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2005-2006,DIESEL,C PASSANGER
110,ANANTNAG ARTO,JK038613,31-May-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Jul-05,07-Jul-22,06-Jul-23,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
111,ANANTNAG ARTO,JK038617,18-Jun-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-May-05,17-May-18,17-May-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2005-2006,DIESEL,C PASSANGERS
112,ANANTNAG ARTO,JK038618,31-Aug-03,LPV,Commercial,Omni Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Jul-08,25-Jul-17,25-Jul-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2008-2009,DIESEL,C PASSENGERS
113,ANANTNAG ARTO,JK038622,31-May-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Jul-05,07-Jul-19,06-Jul-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2005-2006,DIESEL,C PASSENGERS
114,ANANTNAG ARTO,JK038772,26-Dec-03,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,04-Mar-05,04-Mar-21,03-Mar-26,WITH IN DISTRICT,NA,,,NA,,2003-2004,2004-2005,DIESEL,C PASSENGERS
115,ANANTNAG ARTO,JK038808,30-Dec-03,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-May-05,17-May-19,17-May-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2005-2006,DIESEL,C PASSANGER
116,ANANTNAG ARTO,JK038817,30-Dec-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Mar-05,04-Mar-22,03-Mar-27,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2004-2005,DIESEL,NON HAZARDOUS::OTHER::ONLY
117,ANANTNAG ARTO,JK038825,08-Jan-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Dec-06,26-Dec-19,26-Dec-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2006-2007,DIESEL,CARRYING PASSENGERS
118,ANANTNAG ARTO,JK038826,08-Jan-04,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,31-Jan-03,30-Jan-20,30-Jan-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2002-2003,DIESEL,CARRYING PASSENGERS
119,ANANTNAG ARTO,JK038832,22-Jul-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Dec-05,05-Dec-19,05-Dec-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2005-2006,DIESEL,CARRYING PASSENGERS
120,ANANTNAG ARTO,JK038833,08-May-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-May-05,18-May-23,17-May-28,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,
121,ANANTNAG ARTO,JK038883,16-Jan-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Mar-07,11-Mar-20,11-Mar-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2006-2007,DIESEL,CARRYING PASSENGERS
122,ANANTNAG ARTO,JK038891,31-May-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Dec-05,16-Dec-21,15-Dec-26,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
123,ANANTNAG ARTO,JK039264,01-May-04,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,01-Mar-05,01-Mar-21,28-Feb-26,WITH IN DISTRICT,NA,,,NA,,2004-2005,2004-2005,DIESEL,C PASSENGERS
124,ANANTNAG ARTO,JK039279,01-May-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Jul-05,26-Jul-19,25-Jul-24,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,CARRYING PASSENGERS
125,ANANTNAG ARTO,JK039496,04-Jun-04,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Sep-06,01-Sep-22,31-Aug-27,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2006-2007,DIESEL,
126,ANANTNAG ARTO,JK039510,05-Jun-04,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),28-Sep-11,28-Sep-19,27-Sep-24,WITH IN ANANTNAG MUNCIPAL LIMITS  UP TO 8 Kms,NA,,,NA,,2004-2005,2011-2012,DIESEL,NON- HAZARDOUS
127,ANANTNAG ARTO,JK039511,28-May-04,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),13-Jul-09,13-Jul-20,12-Jul-22,WESTERN AREA OF KASHMIR,NA,,,NA,Ordinary Service,2004-2005,2009-2010,DIESEL,
128,ANANTNAG ARTO,JK039523,14-Apr-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Jun-05,06-Apr-19,05-Apr-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,C PASSENGERS
129,ANANTNAG ARTO,JK039577,31-Dec-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Jan-07,15-Jan-22,14-Jan-27,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2006-2007,DIESEL,NON HAZARDOUS::OTHER::ONLY
130,ANANTNAG ARTO,JK039581,17-Jun-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Jul-05,07-Jun-19,06-Jun-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,C PASSENGERS
131,ANANTNAG ARTO,JK039603,17-Jun-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Jul-05,26-Jul-21,25-Jul-23,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,CARRYING PASSANGER
132,ANANTNAG ARTO,JK039650,23-Jun-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-May-06,03-May-20,02-May-23,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2006-2007,DIESEL,NON HAZARDOUS::OTHER::ONLY
133,ANANTNAG ARTO,JK039680,28-May-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Jul-05,26-Jul-19,25-Jul-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,C PASSANGERS
134,ANANTNAG ARTO,JK039709,02-Jul-04,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-May-06,19-May-20,18-May-25,WITH IN 25 KMS OF DISTRICT,NA,,,NA,,2004-2005,2006-2007,DIESEL,C PASSANGER
135,ANANTNAG ARTO,JK039712,02-Jul-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Apr-06,18-Apr-20,18-Apr-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2006-2007,DIESEL,C PASSANGER
136,ANANTNAG ARTO,JK039879,31-Jul-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-05,30-May-22,29-May-27,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
137,ANANTNAG ARTO,JK039907,29-Jul-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Jul-05,07-Jul-22,06-Jul-27,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
138,ANANTNAG ARTO,JK039961,09-Aug-04,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),12-Dec-11,12-Dec-24,11-Dec-29,WITH IN ANANTNAG MUNCIPAL LIMITS  UP TO 8 Kms,NA,,,NA,,2004-2005,2011-2012,DIESEL,NON HAZARDOUS
139,ANANTNAG ARTO,JK03A0111,08-Sep-04,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),30-Jun-05,29-Jun-19,29-Jun-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,C PASSENGERS
140,ANANTNAG ARTO,JK03A0158,11-Aug-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Jun-05,05-Jun-19,05-Jun-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,C PASSANGER
141,ANANTNAG ARTO,JK03A0262,27-Jul-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-May-05,03-May-22,02-May-25,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
142,ANANTNAG ARTO,JK03A0533,04-Nov-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Apr-05,26-Apr-19,26-Apr-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,CARRYING PASSANG
143,ANANTNAG ARTO,JK03A0765,23-Nov-04,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Feb-04,01-Mar-21,29-Feb-24,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2003-2004,DIESEL,NON HAZARDOUS::OTHER::ONLY
144,ANANTNAG ARTO,JK03A0771,20-Sep-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Oct-06,30-Oct-20,30-Oct-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2006-2007,DIESEL,C PASSANGER
145,ANANTNAG ARTO,JK03A0886,08-Dec-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-May-05,02-May-19,02-May-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,CARRYING PASSENGERS
146,ANANTNAG ARTO,JK03A0995,18-Nov-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-May-05,03-May-23,02-May-28,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
147,ANANTNAG ARTO,JK03A1102,12-Jan-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-May-05,03-May-19,02-May-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,C PASSANGERS
148,ANANTNAG ARTO,JK03A1124,04-Feb-05,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Aug-05,02-Aug-19,01-Aug-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,C PASSENGERS
149,ANANTNAG ARTO,JK03A1141,31-Jan-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Feb-05,29-Feb-20,27-Feb-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2004-2005,DIESEL,C PASSENGERS
150,ANANTNAG ARTO,JK03A1152,10-Feb-05,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,01-Mar-05,01-Mar-22,28-Feb-23,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2004-2005,DIESEL,
151,ANANTNAG ARTO,JK03A1185,10-Feb-05,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Jul-05,25-Jul-18,25-Jul-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,C PASSANGERS
152,ANANTNAG ARTO,JK03A1365,04-Apr-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Apr-11,26-Apr-19,26-Apr-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2011-2012,DIESEL,C PASSENGERS
153,ANANTNAG ARTO,JK03A1381,28-Feb-05,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MEDIUM BUSES,14-Sep-05,14-Sep-22,13-Sep-25,WITH IN DISTRICT,NA,,,NA,Deluxe Service,2004-2005,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
154,ANANTNAG ARTO,JK03A1390,11-Apr-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Apr-05,26-Apr-20,25-Apr-23,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,C PASSANGER
155,ANANTNAG ARTO,JK03A1436,26-Apr-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Sep-05,27-Sep-25,26-Sep-30,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
156,ANANTNAG ARTO,JK03A1437,26-Apr-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Jul-05,25-Jul-19,25-Jul-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,CARRYING PASSANGER
157,ANANTNAG ARTO,JK03A1438,31-Jan-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Jul-05,26-Jul-20,25-Jul-25,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,
158,ANANTNAG ARTO,JK03A1518,10-May-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-May-05,24-May-20,23-May-22,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
159,ANANTNAG ARTO,JK03A1536,15-Feb-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Dec-05,05-Dec-19,05-Dec-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2005-2006,DIESEL,CARRYING PASSENGERS
160,ANANTNAG ARTO,JK03A1545,14-May-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,17-Oct-05,17-Oct-24,16-Oct-29,WITH IN 25 KMS OF DISTRICT,NA,,,NA,,2005-2006,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
161,ANANTNAG ARTO,JK03A1588,24-May-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Nov-05,07-Nov-22,06-Nov-27,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,HAZARDOUS::OTHER::ONLY
162,ANANTNAG ARTO,JK03A1636,24-May-05,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Aug-05,02-Aug-19,01-Aug-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,C PASSENGERS
163,ANANTNAG ARTO,JK03A1675,17-Jun-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Aug-05,02-Aug-19,01-Aug-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,C PASSENGERS
164,ANANTNAG ARTO,JK03A1690,17-Jun-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-Aug-05,02-Aug-20,01-Aug-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,C PASSENGER
165,ANANTNAG ARTO,JK03A1691,17-Jun-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Aug-05,29-Aug-21,28-Aug-26,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
166,ANANTNAG ARTO,JK03A1694,17-May-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Aug-05,16-Aug-20,15-Aug-23,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,
167,ANANTNAG ARTO,JK03A1696,27-Mar-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Aug-05,29-Aug-20,28-Aug-25,WITH IN 25 KMS OF DISTRICT,NA,,,NA,,2004-2005,2005-2006,DIESEL,CARRYING PASSENGERS
168,ANANTNAG ARTO,JK03A1697,17-Jun-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Aug-05,21-Aug-20,20-Aug-25,WITH IN 25 KMS OF DISTRICT,NA,,,NA,,2005-2006,2005-2006,DIESEL,CARRYING PASSENGERS
169,ANANTNAG ARTO,JK03A1699,17-Jun-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Aug-05,29-Aug-23,28-Aug-28,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
170,ANANTNAG ARTO,JK03A1700,30-Apr-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Aug-05,02-Aug-24,01-Aug-29,WITH IN DISTRICT,NA,,,NA,,2005-2006,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
171,ANANTNAG ARTO,JK03A1701,17-Jun-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Sep-05,13-Sep-20,13-Sep-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,C PASSANGER
172,ANANTNAG ARTO,JK03A1702,17-Jun-05,LPV,Commercial,Omni Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-Mar-06,02-Mar-20,02-Mar-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,C PASSANGER
173,ANANTNAG ARTO,JK03A1703,17-Jun-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Jun-22,01-Aug-20,31-Jul-24,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2022-2023,DIESEL,CARRYING PASSENGERS
174,ANANTNAG ARTO,JK03A1795,06-Jul-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Apr-06,22-May-20,21-May-25,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2006-2007,DIESEL,NON HAZARDOUS::OTHER::ONLY
175,ANANTNAG ARTO,JK03A1836,09-Jul-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Sep-05,11-Sep-17,11-Sep-19,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,CARRYING PASSANGER
176,ANANTNAG ARTO,JK03A1852,09-Jul-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Nov-05,20-Nov-19,20-Nov-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,C PASSANGER
177,ANANTNAG ARTO,JK03A1857,09-Jul-05,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,04-Jul-05,04-Jul-21,03-Jul-23,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
178,ANANTNAG ARTO,JK03A1952,23-Jul-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Jan-07,30-Jan-20,30-Jan-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2006-2007,DIESEL,CARRYING PASSENGERS
