Name,Category,Importance,Latitude,Longitude,City/Town
Mass Med Hospital,Major Hospital,High,34.0961261,74.6014589,Agri Kalan
Ayush Dispensary Palpora,Major Hospital,High,34.0514484,74.5478924,Greater Kashmir Region
PHC Narbal,Major Hospital,High,34.1157025,74.6645711,Greater Kashmir Region
Primary Healthcare Center Boniyar,Major Hospital,High,34.1319163,74.1809911,Greater Kashmir Region
The North End Hospital Tapper,Major Hospital,High,34.202331,74.5111009,Tapper Pattan
JHELUM CLUB STADIUM MARVAL,Major Leisure/Stadium,High,33.9737251,74.9043022,srinagar
TRC Polo Synthetic Turf Ground,Major Leisure/Stadium,High,34.0742128,74.8275792,Greater Kashmir Region
Bajwani Cricket Stadium,Major Leisure/Stadium,High,33.9482212,75.1360538,Greater Kashmir Region
Bajwani Football Stadium,Major Leisure/Stadium,High,33.9474584,75.1370059,Greater Kashmir Region
Sports Stadium Devsar,Major Leisure/Stadium,High,33.6322213,75.0790966,Devsar
Sports Stadium Pulwama,Major Leisure/Stadium,High,33.8870453,74.8957439,Greater Kashmir Region
Mashtrag Tumberhama,Major Leisure/Stadium,High,34.0490392,74.4559099,Greater Kashmir Region
khan complex,Major Market/Mall,High,34.093675,74.593569,Greater Kashmir Region
chadoora main market,Major Market/Mall,High,33.9457462,74.7998675,Greater Kashmir Region
IT Market,Major Market/Mall,High,34.0702336,74.8095155,Greater Kashmir Region
Nishat Market,Major Market/Mall,High,34.1236714,74.8783834,Greater Kashmir Region
Hari singh high street,Major Market/Mall,High,34.0696128,74.805945,Greater Kashmir Region
Kapar Market,Major Market/Mall,High,34.0681126,74.8051244,Greater Kashmir Region
Fruit and Vegetable Market,Major Market/Mall,High,33.6468457,75.0275636,Greater Kashmir Region
Traditional Market,Major Market/Mall,High,34.0793672,74.8296519,Greater Kashmir Region
Munwaar Plaza,Major Market/Mall,High,34.0837342,74.8191819,Greater Kashmir Region
Crown Plaza Residency,Major Market/Mall,High,34.0843138,74.8190897,Greater Kashmir Region
Yamberzall Mall Court Road,Major Market/Mall,High,34.0697916,74.8100696,Greater Kashmir Region
Polo View Market,Major Market/Mall,High,34.0735807,74.8201286,Greater Kashmir Region
Fairdeal Shopping Complex,Major Market/Mall,High,34.0725411,74.8169547,Greater Kashmir Region
New Market Forest Lane,Major Market/Mall,High,34.0708723,74.8107093,Greater Kashmir Region
Aftab Market Budshah Chowk,Major Market/Mall,High,34.0715257,74.8097338,Greater Kashmir Region
Central Market Abi Guzar,Major Market/Mall,High,34.0719912,74.813075,Greater Kashmir Region
Yatri Bhawan Durga Nag Trust,Major Market/Mall,High,34.0753398,74.8325148,Greater Kashmir Region
Nabeera Complex,Major Market/Mall,High,34.0721076,74.8049661,Greater Kashmir Region
Silver Square Mall,Major Market/Mall,High,34.0633774,74.8135752,Greater Kashmir Region
Flickerz 24x7 Hub,Major Market/Mall,High,34.067936,74.8334458,Greater Kashmir Region
Sulaiman Shopping Complex,Major Market/Mall,High,34.0758905,74.8307388,Greater Kashmir Region
Top Shop Super Market,Major Market/Mall,High,34.0717289,74.8392274,Greater Kashmir Region
Town Square Plaza,Major Market/Mall,High,34.0628551,74.8082424,Greater Kashmir Region
ERA Shopping Complex,Major Market/Mall,High,34.0519742,74.8035434,Greater Kashmir Region
Chinar Super Market,Major Market/Mall,High,34.0716493,74.830113,Greater Kashmir Region
Hotel Abc Reidency Plaza,Major Market/Mall,High,34.0673492,74.805982,Greater Kashmir Region
Samci Riveria,Major Market/Mall,High,34.0684835,74.8250174,Greater Kashmir Region
Al-Qudas Market,Major Market/Mall,High,34.0705969,74.8039924,Greater Kashmir Region
Metro International Office Complex,Major Market/Mall,High,34.0683595,74.8256111,Greater Kashmir Region
Grand L.D,Major Market/Mall,High,34.067611,74.8070166,Greater Kashmir Region
Khan Arcade,Major Market/Mall,High,34.0602215,74.8186379,Greater Kashmir Region
Iqbal Sabzi Mandi II,Major Market/Mall,High,34.0818122,74.7906207,Greater Kashmir Region
Jehlum Complex,Major Market/Mall,High,34.0798185,74.7950211,Greater Kashmir Region
7 Square Mall,Major Market/Mall,High,34.0391918,74.7906563,Greater Kashmir Region
Gulzar Shopping Complex,Major Market/Mall,High,34.0816937,74.7930186,Greater Kashmir Region
Bhat Complex,Major Market/Mall,High,34.0709599,74.7879438,Greater Kashmir Region
Khan Complex,Major Market/Mall,High,34.1088964,74.742273,Greater Kashmir Region
Plaza Market,Major Market/Mall,High,34.0803375,74.7947919,Greater Kashmir Region
Grand Park,Major Market/Mall,High,34.0673778,74.7811802,Greater Kashmir Region
Al-Rehman Plaza,Major Market/Mall,High,34.0974997,74.7720717,Greater Kashmir Region
Iqbal Sabzi Mandi Batamaloo,Major Market/Mall,High,34.0818446,74.7915693,Greater Kashmir Region
Aisha Complex,Major Market/Mall,High,34.0733777,74.7883272,Greater Kashmir Region
Airport Market Place II,Major Market/Mall,High,34.0131546,74.76651,Greater Kashmir Region
Sheikh ul Aalam Complex Peerbagh,Major Market/Mall,High,34.0319868,74.7803549,Greater Kashmir Region
Momin Complex,Major Market/Mall,High,34.0369362,74.7845395,Greater Kashmir Region
Aziz Complex,Major Market/Mall,High,34.0385861,74.8192426,Greater Kashmir Region
Shah Sons Group,Major Market/Mall,High,34.029028,74.8087354,Greater Kashmir Region
Ibrahs Mall,Major Market/Mall,High,34.027469,74.7781811,Greater Kashmir Region
Al-Azhar Group,Major Market/Mall,High,34.0209818,74.8094903,Greater Kashmir Region
Super Market,Major Market/Mall,High,34.0272422,74.8085143,Greater Kashmir Region
Al-Mushtaq Plaza,Major Market/Mall,High,34.0322023,74.8088477,Greater Kashmir Region
Shah Complex,Major Market/Mall,High,34.0385981,74.8100271,Greater Kashmir Region
Orchids Super Market,Major Market/Mall,High,34.0178995,74.7984309,Greater Kashmir Region
Iqbal Memorial Shopping Mall,Major Market/Mall,High,34.0371124,74.7889679,Greater Kashmir Region
Gani Complex,Major Market/Mall,High,34.0298077,74.8229928,Greater Kashmir Region
Saifco Shopping Complex Airport Market,Major Market/Mall,High,34.0146748,74.7616297,Greater Kashmir Region
