Route_Name,Origin,Origin_Lat,Origin_Lon,Destination,Dest_Lat,Dest_Lon,Via_Points_Raw,Via_Points_Geocoded,Vehicle_Category,Service_Type
,SAIDAKADAL,34.103318,74.8272458,BYPASS,34.0909355,74.7608808,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,RANGRATH,34.013161,74.7994131,BYPASS,"34.0909355,74.7608808",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,RANGRATH,34.013161,74.7994131,BYPASS,"34.0909355,74.7608808",MPV,Express Service
,BATAMALLO,34.0692325,74.7917031,PANTHA CHOWK,34.0285811,74.9057898,TENGPORA,"34.059855,74.7874308",MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,RANGRATH,34.013161,74.7994131,BYPASS,"34.0909355,74.7608808",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,RAWALPORA,34.0195992,74.7993842,JEHANGIR CHOWK,,MPV,Ordinary Service
,BATAMALLO,34.0692325,74.7917031,PANTHA CHOWK,34.0285811,74.9057898,TENGPORA,"34.059855,74.7874308",MPV,Goods Service
,BATAMALLO,34.0692325,74.7917031,PANTHA CHOWK,34.0285811,74.9057898,TENGPORA,"34.059855,74.7874308",LPV,Express Service
,PARIMPORA,34.0814091,74.7131047,RANGRATH,34.013161,74.7994131,BYPASS,"34.0909355,74.7608808",MPV,Express Service
,BATAMALLO,34.0692325,74.7917031,PANTHA CHOWK,34.0285811,74.9057898,MOMINABAD TENGPORA,,MPV,
,BATAMALLO,34.0692325,74.7917031,PANTHA CHOWK,34.0285811,74.9057898,MOMINABAD TENGPORA,,MPV,Express Service
,BATAMALLO,34.0692325,74.7917031,PANTHA CHOWK,34.0285811,74.9057898,MOMINABAD TENGPORA,,LPV,Express Service
,LALBAZAR,34.1255664,74.817375,PARIMPORA,34.0814091,74.7131047,RAZIAKADAL,"34.0870943,74.8114291",MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,DALGATE,"34.0816285,74.8268875",LPV,
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,MOMINABAD TENGPORA,,LPV,Express Service
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,RANGRATH,34.013161,74.7994131,BYPASS,"34.0909355,74.7608808",MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,BUDGAM,34.0063048,74.6417809,BYPASS,"34.0909355,74.7608808",MPV,Ordinary Service
,QAMARWARI,34.0948927,74.766525,DALGATE,34.0816285,74.8268875,KHANYAR,"34.093309,74.8145107",MPV,
,PARIMPORA,34.0814091,74.7131047,BUDGAM,34.0063048,74.6417809,BYPASS,"34.0909355,74.7608808",MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,TENGPORA,"34.059855,74.7874308",MPV,Ordinary Service
